filename,detector,num_keypoints,descriptor_shape
frame_001.jpg,SIFT,116922,"[116922, 128]"
frame_002.jpg,SIFT,116007,"[116007, 128]"
frame_003.jpg,SIFT,108735,"[108735, 128]"
frame_004.jpg,SIFT,126517,"[126517, 128]"
frame_005.jpg,SIFT,112523,"[112523, 128]"
frame_006.jpg,SIFT,120281,"[120281, 128]"
frame_007.jpg,SIFT,122563,"[122563, 128]"
frame_008.jpg,SIFT,137794,"[137794, 128]"
frame_009.jpg,SIFT,125043,"[125043, 128]"
frame_010.jpg,SIFT,122033,"[122033, 128]"
frame_011.jpg,SIFT,118429,"[118429, 128]"
frame_012.jpg,SIFT,124322,"[124322, 128]"
frame_013.jpg,SIFT,126538,"[126538, 128]"
frame_014.jpg,SIFT,123844,"[123844, 128]"
frame_015.jpg,SIFT,115996,"[115996, 128]"
frame_016.jpg,SIFT,95215,"[95215, 128]"
frame_017.jpg,SIFT,83453,"[83453, 128]"
frame_018.jpg,SIFT,87947,"[87947, 128]"
frame_019.jpg,SIFT,93185,"[93185, 128]"
frame_020.jpg,SIFT,93093,"[93093, 128]"
frame_021.jpg,SIFT,84120,"[84120, 128]"
frame_022.jpg,SIFT,77138,"[77138, 128]"
frame_023.jpg,SIFT,69347,"[69347, 128]"
frame_024.jpg,SIFT,68006,"[68006, 128]"
frame_025.jpg,SIFT,58716,"[58716, 128]"
frame_026.jpg,SIFT,58303,"[58303, 128]"
frame_027.jpg,SIFT,62823,"[62823, 128]"
frame_028.jpg,SIFT,66412,"[66412, 128]"
frame_029.jpg,SIFT,66214,"[66214, 128]"
frame_030.jpg,SIFT,88181,"[88181, 128]"
frame_031.jpg,SIFT,88507,"[88507, 128]"
frame_032.jpg,SIFT,87343,"[87343, 128]"
frame_033.jpg,SIFT,78113,"[78113, 128]"
frame_034.jpg,SIFT,75060,"[75060, 128]"
frame_035.jpg,SIFT,76407,"[76407, 128]"
frame_036.jpg,SIFT,108609,"[108609, 128]"
frame_037.jpg,SIFT,99509,"[99509, 128]"
frame_038.jpg,SIFT,98605,"[98605, 128]"
frame_039.jpg,SIFT,85658,"[85658, 128]"
frame_040.jpg,SIFT,89520,"[89520, 128]"
frame_041.jpg,SIFT,96424,"[96424, 128]"
frame_042.jpg,SIFT,99450,"[99450, 128]"
frame_043.jpg,SIFT,109210,"[109210, 128]"
frame_044.jpg,SIFT,122118,"[122118, 128]"
frame_045.jpg,SIFT,113550,"[113550, 128]"
frame_046.jpg,SIFT,116341,"[116341, 128]"
frame_047.jpg,SIFT,127017,"[127017, 128]"
frame_048.jpg,SIFT,137922,"[137922, 128]"
frame_049.jpg,SIFT,114284,"[114284, 128]"
frame_050.jpg,SIFT,110477,"[110477, 128]"
frame_051.jpg,SIFT,90613,"[90613, 128]"
frame_052.jpg,SIFT,94931,"[94931, 128]"
frame_053.jpg,SIFT,82956,"[82956, 128]"
frame_054.jpg,SIFT,86073,"[86073, 128]"
frame_055.jpg,SIFT,104470,"[104470, 128]"
frame_056.jpg,SIFT,113979,"[113979, 128]"
frame_057.jpg,SIFT,125967,"[125967, 128]"
frame_058.jpg,SIFT,138715,"[138715, 128]"
frame_059.jpg,SIFT,139581,"[139581, 128]"
frame_060.jpg,SIFT,149551,"[149551, 128]"
frame_061.jpg,SIFT,138502,"[138502, 128]"
frame_062.jpg,SIFT,132668,"[132668, 128]"
frame_063.jpg,SIFT,144042,"[144042, 128]"
frame_064.jpg,SIFT,163949,"[163949, 128]"
frame_065.jpg,SIFT,145390,"[145390, 128]"
frame_066.jpg,SIFT,151226,"[151226, 128]"
frame_067.jpg,SIFT,153393,"[153393, 128]"
frame_068.jpg,SIFT,154721,"[154721, 128]"
frame_069.jpg,SIFT,138530,"[138530, 128]"
frame_070.jpg,SIFT,133593,"[133593, 128]"
frame_071.jpg,SIFT,123037,"[123037, 128]"
frame_072.jpg,SIFT,114886,"[114886, 128]"
frame_073.jpg,SIFT,103767,"[103767, 128]"
frame_074.jpg,SIFT,106993,"[106993, 128]"
frame_075.jpg,SIFT,106181,"[106181, 128]"
frame_076.jpg,SIFT,106206,"[106206, 128]"
frame_077.jpg,SIFT,98755,"[98755, 128]"
frame_078.jpg,SIFT,95931,"[95931, 128]"
frame_079.jpg,SIFT,106940,"[106940, 128]"
frame_080.jpg,SIFT,101172,"[101172, 128]"
frame_081.jpg,SIFT,103102,"[103102, 128]"
frame_082.jpg,SIFT,99673,"[99673, 128]"
frame_083.jpg,SIFT,100387,"[100387, 128]"
frame_084.jpg,SIFT,100031,"[100031, 128]"
frame_085.jpg,SIFT,103586,"[103586, 128]"
frame_086.jpg,SIFT,107486,"[107486, 128]"
frame_087.jpg,SIFT,103863,"[103863, 128]"
frame_088.jpg,SIFT,104103,"[104103, 128]"
frame_089.jpg,SIFT,99458,"[99458, 128]"
frame_090.jpg,SIFT,90850,"[90850, 128]"
frame_091.jpg,SIFT,99476,"[99476, 128]"
frame_092.jpg,SIFT,95724,"[95724, 128]"
frame_093.jpg,SIFT,88429,"[88429, 128]"
frame_094.jpg,SIFT,90318,"[90318, 128]"
frame_095.jpg,SIFT,89227,"[89227, 128]"
frame_096.jpg,SIFT,93638,"[93638, 128]"
frame_097.jpg,SIFT,87115,"[87115, 128]"
frame_098.jpg,SIFT,89082,"[89082, 128]"
frame_099.jpg,SIFT,85428,"[85428, 128]"
frame_100.jpg,SIFT,84793,"[84793, 128]"
frame_101.jpg,SIFT,90348,"[90348, 128]"
frame_102.jpg,SIFT,85150,"[85150, 128]"
frame_103.jpg,SIFT,81066,"[81066, 128]"
frame_104.jpg,SIFT,99343,"[99343, 128]"
frame_105.jpg,SIFT,100887,"[100887, 128]"
frame_106.jpg,SIFT,98176,"[98176, 128]"
frame_107.jpg,SIFT,101599,"[101599, 128]"
frame_108.jpg,SIFT,99167,"[99167, 128]"
frame_109.jpg,SIFT,95138,"[95138, 128]"
frame_110.jpg,SIFT,91221,"[91221, 128]"
frame_111.jpg,SIFT,94763,"[94763, 128]"
frame_112.jpg,SIFT,80822,"[80822, 128]"
frame_113.jpg,SIFT,84334,"[84334, 128]"
frame_114.jpg,SIFT,98871,"[98871, 128]"
frame_115.jpg,SIFT,96331,"[96331, 128]"
frame_116.jpg,SIFT,90334,"[90334, 128]"
frame_117.jpg,SIFT,92210,"[92210, 128]"
frame_118.jpg,SIFT,102464,"[102464, 128]"
frame_119.jpg,SIFT,99944,"[99944, 128]"
frame_120.jpg,SIFT,93994,"[93994, 128]"
frame_121.jpg,SIFT,100396,"[100396, 128]"
frame_122.jpg,SIFT,96672,"[96672, 128]"
frame_123.jpg,SIFT,95495,"[95495, 128]"
frame_124.jpg,SIFT,102954,"[102954, 128]"
frame_125.jpg,SIFT,98793,"[98793, 128]"
frame_126.jpg,SIFT,93191,"[93191, 128]"
frame_127.jpg,SIFT,104890,"[104890, 128]"
frame_128.jpg,SIFT,83998,"[83998, 128]"
frame_129.jpg,SIFT,105549,"[105549, 128]"
frame_130.jpg,SIFT,103620,"[103620, 128]"
frame_131.jpg,SIFT,96984,"[96984, 128]"
frame_132.jpg,SIFT,87037,"[87037, 128]"
frame_133.jpg,SIFT,87149,"[87149, 128]"
frame_134.jpg,SIFT,89020,"[89020, 128]"
frame_135.jpg,SIFT,97523,"[97523, 128]"
frame_136.jpg,SIFT,103714,"[103714, 128]"
frame_137.jpg,SIFT,91805,"[91805, 128]"
frame_138.jpg,SIFT,102873,"[102873, 128]"
frame_139.jpg,SIFT,115932,"[115932, 128]"
frame_140.jpg,SIFT,117280,"[117280, 128]"
frame_141.jpg,SIFT,120911,"[120911, 128]"
frame_142.jpg,SIFT,112291,"[112291, 128]"
frame_143.jpg,SIFT,94488,"[94488, 128]"
frame_144.jpg,SIFT,101787,"[101787, 128]"
frame_145.jpg,SIFT,113453,"[113453, 128]"
frame_146.jpg,SIFT,102624,"[102624, 128]"
frame_147.jpg,SIFT,108071,"[108071, 128]"
frame_148.jpg,SIFT,75816,"[75816, 128]"
frame_149.jpg,SIFT,103791,"[103791, 128]"
frame_150.jpg,SIFT,81510,"[81510, 128]"
frame_151.jpg,SIFT,70703,"[70703, 128]"
frame_152.jpg,SIFT,63568,"[63568, 128]"
frame_153.jpg,SIFT,68953,"[68953, 128]"
frame_154.jpg,SIFT,79831,"[79831, 128]"
frame_155.jpg,SIFT,96726,"[96726, 128]"
frame_156.jpg,SIFT,108896,"[108896, 128]"
frame_157.jpg,SIFT,108157,"[108157, 128]"
frame_158.jpg,SIFT,111423,"[111423, 128]"
frame_159.jpg,SIFT,102012,"[102012, 128]"
frame_160.jpg,SIFT,106806,"[106806, 128]"
frame_161.jpg,SIFT,115947,"[115947, 128]"
frame_162.jpg,SIFT,128454,"[128454, 128]"
frame_163.jpg,SIFT,150897,"[150897, 128]"
frame_164.jpg,SIFT,145298,"[145298, 128]"
frame_165.jpg,SIFT,129328,"[129328, 128]"
frame_166.jpg,SIFT,137224,"[137224, 128]"
frame_167.jpg,SIFT,139234,"[139234, 128]"
frame_168.jpg,SIFT,126203,"[126203, 128]"
frame_169.jpg,SIFT,127244,"[127244, 128]"
frame_170.jpg,SIFT,119409,"[119409, 128]"
frame_171.jpg,SIFT,124664,"[124664, 128]"
frame_172.jpg,SIFT,137140,"[137140, 128]"
frame_173.jpg,SIFT,137668,"[137668, 128]"
frame_174.jpg,SIFT,137779,"[137779, 128]"
frame_175.jpg,SIFT,130905,"[130905, 128]"
frame_176.jpg,SIFT,142586,"[142586, 128]"
frame_177.jpg,SIFT,136845,"[136845, 128]"
frame_178.jpg,SIFT,142804,"[142804, 128]"
frame_179.jpg,SIFT,136053,"[136053, 128]"
frame_180.jpg,SIFT,139757,"[139757, 128]"
frame_181.jpg,SIFT,135559,"[135559, 128]"
frame_182.jpg,SIFT,135301,"[135301, 128]"
frame_183.jpg,SIFT,145004,"[145004, 128]"
frame_184.jpg,SIFT,112876,"[112876, 128]"
frame_185.jpg,SIFT,150842,"[150842, 128]"
frame_186.jpg,SIFT,114765,"[114765, 128]"
frame_187.jpg,SIFT,140230,"[140230, 128]"
frame_188.jpg,SIFT,138319,"[138319, 128]"
frame_189.jpg,SIFT,147683,"[147683, 128]"
frame_190.jpg,SIFT,146708,"[146708, 128]"
frame_191.jpg,SIFT,158996,"[158996, 128]"
frame_192.jpg,SIFT,141859,"[141859, 128]"
frame_193.jpg,SIFT,148087,"[148087, 128]"
